"358/0001","PREVIEWS #360 ONLY SEP",,"2.50",,,"DIAMOND PUBLICATIONS"
"358/0002","MARVEL PREVIEWS #360 ONLY SEP",,"0.75",,,"DIAMOND PUBLICATIONS"
"358/0003","PREVIEWS MARVEL IMAGE PLUS PREVIEWS #360 SEP",,"2.50",,,"DIAMOND PUBLICATIONS"
"358/0004","CUSTOMER ORDER FORM PREVIEWS #360 SEP",,"0.00",,,"DIAMOND PUBLICATIONS"
"358/0018","HCF 2018 PRINCELESS RAVEN PIRATE PRINCESS",,"0.25",,,"DIAMOND PUBLICATIONS"
"358/0019","HCF 2018 DANGER DOLLS GLADIATRIX LIVES (MR)",,"0.25",,,"DIAMOND PUBLICATIONS"
"358/0020","HCF 2018 A WALK THROUGH HELL #1 (MR)",,"0.25",,,"DIAMOND PUBLICATIONS"
"358/0021","HCF 2018 EDGAR RICE BURROUGHS UNIVERSE GENESIS",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0022","HCF 2018 HOWARD LOVECRAFT KINGDOM OF MADNESS",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0023","HCF 2018 JUGHEAD THE HUNGER #1 B&W (MR)",,"0.25",,,"DIAMOND PUBLICATIONS"
"358/0024","HCF 2018 ASPEN COMICS PRESENTS ASPEN MASCOTS #1",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0025","HCF 2018 LADY MECHANIKA LA DAMA DE LA MUERTE #1",,"0.25",,,"DIAMOND PUBLICATIONS"
"358/0026","HCF 2018 HELLBOY & THE BPRD 1953 PHANTOM HAND & THE KELPIE",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0027","HCF 2018 JOHN CONSTANTINE THE HELLBLAZER #1 (MR)",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0028","HCF 2018 GOOSEBUMPS MONSTERS AT MIDNIGHT #1",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0029","HCF 2018 WITCH HALLOWEEN #1",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0031","HCF 2018 MS MARVEL #1",,"0.25",,,"DIAMOND PUBLICATIONS"
"358/0032","HCF 2018 SUPERIOR SPIDER-MAN #1",,"0.25",,,"DIAMOND PUBLICATIONS"
"358/0033","HCF 2018 THOR TBA #1",,"0.25",,,"DIAMOND PUBLICATIONS"
"358/0035","HCF 2018 MONSTROUS THREE MONSTERS AND A BABY ONESHOT",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0037","HCF 2018 FRANKENSTEIN JUNJI ITO (MR)",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0038","HCF 2018 SHIBUYA GOLDFISH",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0039","HCF 2018 WINDMAKER BIRTH OF A KING",,"0.30",,,"DIAMOND PUBLICATIONS"
"358/0065","HCF 2018 ORANGE WRIST BAND",,"1.02",,,"DIAMOND PUBLICATIONS"
"358/0066","HCF ORANGE LOGO T-SHIRT SM",,"7.09",,,"DIAMOND PUBLICATIONS"
"358/0067","HCF ORANGE LOGO T-SHIRT MED",,"7.09",,,"DIAMOND PUBLICATIONS"
"358/0068","HCF ORANGE LOGO T-SHIRT LG",,"7.09",,,"DIAMOND PUBLICATIONS"
"358/0069","HCF ORANGE LOGO T-SHIRT XL",,"7.09",,,"DIAMOND PUBLICATIONS"
"358/0070","HCF ORANGE LOGO T-SHIRT XXL",,"8.66",,,"DIAMOND PUBLICATIONS"
"358/0071","HCF ORANGE LOGO T-SHIRT XXXL",,"8.66",,,"DIAMOND PUBLICATIONS"
"358/0072","HCF 2018 COMM ARTIST POWELL BLK T/S SM",,"12.60",,,"DIAMOND PUBLICATIONS"
"358/0073","HCF 2018 COMM ARTIST POWELL BLK T/S MED",,"12.60",,,"DIAMOND PUBLICATIONS"
"358/0074","HCF 2018 COMM ARTIST POWELL BLK T/S LG",,"12.60",,,"DIAMOND PUBLICATIONS"
"358/0075","HCF 2018 COMM ARTIST POWELL BLK T/S XL",,"12.60",,,"DIAMOND PUBLICATIONS"
"358/0076","HCF 2018 COMM ARTIST POWELL BLK T/S XXL",,"14.96",,,"DIAMOND PUBLICATIONS"
"358/0077","HCF 2018 COMM ARTIST POWELL BLK T/S XXXL",,"14.96",,,"DIAMOND PUBLICATIONS"
"358/0078","HCF 2018 COMM ARTIST POWELL WOMEN BLK T/S XS",,"12.60",,,"DIAMOND PUBLICATIONS"
"358/0079","HCF 2018 COMM ARTIST POWELL WOMEN BLK T/S SM",,"12.60",,,"DIAMOND PUBLICATIONS"
"358/0080","HCF 2018 COMM ARTIST POWELL WOMEN BLK T/S MED",,"12.60",,,"DIAMOND PUBLICATIONS"
"358/0081","HCF 2018 COMM ARTIST POWELL WOMEN BLK T/S LG",,"12.60",,,"DIAMOND PUBLICATIONS"
"358/0082","HCF 2018 COMM ARTIST POWELL WOMEN BLK T/S XL",,"14.96",,,"DIAMOND PUBLICATIONS"
"358/0083","HCF 2018 COMM ARTIST POWELL WOMEN BLK T/S XXL",,"14.96",,,"DIAMOND PUBLICATIONS"
"358/0084","HCF 2018 COMM ARTIST POWELL YOUTH BLK T/S SM",,"10.24",,,"DIAMOND PUBLICATIONS"
"358/0085","HCF 2018 COMM ARTIST POWELL YOUTH BLK T/S MED",,"10.24",,,"DIAMOND PUBLICATIONS"
"358/0086","HCF 2018 COMM ARTIST POWELL YOUTH BLK T/S LG",,"10.24",,,"DIAMOND PUBLICATIONS"
"358/0094","GAME TRADE MAGAZINE #223",,"0.75",,,"DIAMOND PUBLICATIONS"
"358/0096","BULLY WARS #1 CVR A CONLEY",,"2.95",,,"IMAGE COMICS"
"358/0097","BULLY WARS #1 CVR B YOUNG",,"2.95",,,"IMAGE COMICS"
"358/0098","BULLY WARS #1 CVR C BROWN",,"2.95",,,"IMAGE COMICS"
"358/0099","I HATE FAIRYLAND TP 01 MADLY EVER AFTER (MR)",,"7.40",,,"IMAGE COMICS"
"358/0100","I HATE FAIRYLAND TP 02 FLUFF MY LIFE",,"11.50",,,"IMAGE COMICS"
"358/0101","I HATE FAIRYLAND TP 03 GOOD GIRL (MR)",,"12.50",,,"IMAGE COMICS"
"358/0102","I HATE FAIRYLAND DLX HC 01 (MR)",,"20.75",,,"IMAGE COMICS"
"358/0103","MAN-EATERS #1",,"2.95",,,"IMAGE COMICS"
"358/0104","MAN-EATERS #1 GLITTER CVR",,"3.70",,,"IMAGE COMICS"
"358/0105","BITCH PLANET TP 01 EXTRAORDINARY MACHINE (MR)",,"7.40",,,"IMAGE COMICS"
"358/0106","BITCH PLANET TP 02 PRESIDENT BITCH (MR)",,"11.50",,,"IMAGE COMICS"
"358/0107","BITCH PLANET TRIPLE FEATURE TP 01 (MR)",,"12.50",,,"IMAGE COMICS"
